Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
1/10/2021,1/4/2020,1/9/2021,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,34,71,
1/10/2021,1/4/2020,1/9/2021,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,146,301,
1/10/2021,1/4/2020,1/9/2021,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,16,31,
1/10/2021,1/4/2020,1/9/2021,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,42,61,
1/10/2021,1/4/2020,1/9/2021,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,78,127,
1/10/2021,1/4/2020,1/9/2021,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,166,254,
1/10/2021,1/4/2020,1/9/2021,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,393,615,
1/10/2021,1/4/2020,1/9/2021,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,580,875,
1/10/2021,1/4/2020,1/9/2021,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,674,988,
1/10/2021,1/4/2020,1/9/2021,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,579,787,
1/10/2021,1/4/2020,1/9/2021,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,2528,3738,
1/10/2021,1/4/2020,1/9/2021,AZ,COVID-19,COVID-19,U071,0-24,33,33,
1/10/2021,1/4/2020,1/9/2021,AZ,COVID-19,COVID-19,U071,25-34,105,105,
1/10/2021,1/4/2020,1/9/2021,AZ,COVID-19,COVID-19,U071,35-44,237,237,
1/10/2021,1/4/2020,1/9/2021,AZ,COVID-19,COVID-19,U071,45-54,499,499,
1/10/2021,1/4/2020,1/9/2021,AZ,COVID-19,COVID-19,U071,55-64,1121,1121,
1/10/2021,1/4/2020,1/9/2021,AZ,COVID-19,COVID-19,U071,65-74,1746,1746,
1/10/2021,1/4/2020,1/9/2021,AZ,COVID-19,COVID-19,U071,75-84,2088,2088,
1/10/2021,1/4/2020,1/9/2021,AZ,COVID-19,COVID-19,U071,85+,1807,1807,
1/10/2021,1/4/2020,1/9/2021,AZ,COVID-19,COVID-19,U071,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AZ,COVID-19,COVID-19,U071,All Ages,7636,7636,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,14,14,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,67,67,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,177,180,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,320,326,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,408,413,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,398,399,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,1393,1408,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,30,30,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,69,70,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,113,119,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,78,78,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,295,302,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,35,35,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,84,84,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,112,112,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,136,136,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,139,139,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,522,522,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory failure,J96,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory failure,J96,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory failure,J96,35-44,14,14,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory failure,J96,45-54,56,57,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory failure,J96,55-64,173,176,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory failure,J96,65-74,309,316,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory failure,J96,75-84,394,401,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory failure,J96,85+,372,378,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory failure,J96,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory failure,J96,All Ages,1325,1350,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory arrest,R09.2,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory arrest,R09.2,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory arrest,R09.2,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory arrest,R09.2,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory arrest,R09.2,55-64,10,10,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory arrest,R09.2,65-74,17,17,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory arrest,R09.2,75-84,28,28,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory arrest,R09.2,85+,40,40,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Respiratory arrest,R09.2,All Ages,100,100,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,16,17,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,13,13,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,30,32,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,27,27,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,95,98,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,17,17,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,58,58,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,118,120,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,179,184,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Hypertensive diseases,I10-I15,85+,222,226,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,605,616,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,11,12,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,25,27,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,69,72,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,110,118,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Ischemic heart disease,I20-I25,85+,98,105,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,317,338,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrest,I46,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrest,I46,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrest,I46,35-44,11,11,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrest,I46,45-54,20,20,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrest,I46,55-64,55,55,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrest,I46,65-74,97,97,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrest,I46,75-84,117,117,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrest,I46,85+,106,106,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrest,I46,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrest,I46,All Ages,409,409,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,15,16,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,34,35,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,65,70,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,76,77,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,195,203,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Heart failure,I50,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Heart failure,I50,25-34,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Heart failure,I50,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Heart failure,I50,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Heart failure,I50,55-64,24,24,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Heart failure,I50,65-74,37,37,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Heart failure,I50,75-84,74,74,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Heart failure,I50,85+,111,111,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Heart failure,I50,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Heart failure,I50,All Ages,252,252,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,21,23,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,32,32,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,38,38,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,36,37,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,134,137,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,16,16,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,25,26,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,41,44,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,41,46,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,131,143,
1/10/2021,1/4/2020,1/9/2021,AR,Sepsis,Sepsis,A40-A41,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Sepsis,Sepsis,A40-A41,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Sepsis,Sepsis,A40-A41,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Sepsis,Sepsis,A40-A41,45-54,19,19,
1/10/2021,1/4/2020,1/9/2021,AR,Sepsis,Sepsis,A40-A41,55-64,36,36,
1/10/2021,1/4/2020,1/9/2021,AR,Sepsis,Sepsis,A40-A41,65-74,60,60,
1/10/2021,1/4/2020,1/9/2021,AR,Sepsis,Sepsis,A40-A41,75-84,80,80,
1/10/2021,1/4/2020,1/9/2021,AR,Sepsis,Sepsis,A40-A41,85+,66,66,
1/10/2021,1/4/2020,1/9/2021,AR,Sepsis,Sepsis,A40-A41,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Sepsis,Sepsis,A40-A41,All Ages,271,271,
1/10/2021,1/4/2020,1/9/2021,AR,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,21,25,
1/10/2021,1/4/2020,1/9/2021,AR,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,34,35,
1/10/2021,1/4/2020,1/9/2021,AR,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,30,40,
1/10/2021,1/4/2020,1/9/2021,AR,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,22,24,
1/10/2021,1/4/2020,1/9/2021,AR,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,110,127,
1/10/2021,1/4/2020,1/9/2021,AR,Diabetes,Diabetes,E10-E14,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Diabetes,Diabetes,E10-E14,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Diabetes,Diabetes,E10-E14,35-44,11,11,
1/10/2021,1/4/2020,1/9/2021,AR,Diabetes,Diabetes,E10-E14,45-54,21,21,
1/10/2021,1/4/2020,1/9/2021,AR,Diabetes,Diabetes,E10-E14,55-64,68,68,
1/10/2021,1/4/2020,1/9/2021,AR,Diabetes,Diabetes,E10-E14,65-74,122,123,
1/10/2021,1/4/2020,1/9/2021,AR,Diabetes,Diabetes,E10-E14,75-84,128,129,
1/10/2021,1/4/2020,1/9/2021,AR,Diabetes,Diabetes,E10-E14,85+,86,86,
1/10/2021,1/4/2020,1/9/2021,AR,Diabetes,Diabetes,E10-E14,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,AR,Diabetes,Diabetes,E10-E14,All Ages,442,444,
1/10/2021,1/4/2020,1/9/2021,AR,Obesity,Obesity,E65-E68,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/10/2021,1/4/2020,1/9/2021,AR,Obesity,Obesity,E65-E68,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
